ID,Time,Class,Age,purpose,encourage,certificate,thisclass,gaveup,why,complimented,confident,motivated,importanceofcomplimented,unnecessary,feedback,replacewhy
1,11-14-2022 18:32:01,3,18,1,3,4,5,1,IELTS is too much for college entrance exam,1,1,1,3,3,1,So that I could better focus on the lesson
2,11-14-2022 18:48:45,3,16,1,2,3,4,1,Too much external distraction that I cannot focus on learning IELTS,1,1,1,5,4,0,I don't like being praised
3,11-14-2022 18:52:19,2,15,1,2,5,5,1,Writing is too difficult,1,1,1,4,4,1,So that I could better focus on the lesson
4,11-14-2022 18:56:41,2,15,1,2,5,5,0,,0,1,1,3,3,1,So that I could better focus on the lesson
5,11-14-2022 19:29:39,2,15,1,3,4,4,0,,0,1,,3,4,1,"To save time for learning other knowledge, So that I could better focus on the lesson, The compliments cannot make me improve my English skills"
6,11-14-2022 20:10:14,2,15,2,3,5,2,0,,1,1,1,1,3,1,So that I could better focus on the lesson
7,11-14-2022 21:36:42,2,16,1,2,5,5,0,,1,1,1,5,5,1,So that I could better focus on the lesson
8,11-14-2022 22:03:16,2,16,1,2,5,5,0,,1,1,1,4,3,0,So that I could better focus on the lesson
9,11-15-2022 15:32:07,2,15,1,3,5,5,1,Not used to the learning style of the class,1,1,1,5,5,0,So that I could better focus on the lesson
10,11-15-2022 17:17:39,1,20,1,2,5,5,0,,0,1,1,4,4,0,The compliments cannot make me improve my English skills
11,11-15-2022 17:55:39,2,16,2,3,5,5,0,,1,1,1,5,5,0,So that I could better focus on the lesson
12,11-15-2022 22:45:35,1,23,1,2,5,5,0,,1,1,1,5,5,,So that I could better focus on the lesson
13,11-16-2022 0:05:47,2,16,1,2,4,5,0,,1,1,1,3,3,0,So that I could better focus on the lesson
14,11-16-2022 12:24:14,1,15,1,3,5,5,0,,1,1,1,5,5,1,The compliments cannot make me improve my English skills
15,11-16-2022 12:27:20,2,15,1,2,5,5,1,Too difficult,1,1,1,5,5,1,The compliments cannot make me improve my English skills
16,11-16-2022 17:11:32,2,16,1,2,5,5,0,,1,1,1,3,3,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
17,11-16-2022 17:30:38,3,16,1,2,5,4,0,,1,1,1,4,5,0,So that I could better focus on the lesson
18,11-16-2022 22:10:07,3,16,1,2,5,4,0,,1,1,1,5,5,,The compliments cannot make me improve my English skills
19,11-16-2022 22:18:29,1,16,2,2,5,5,1,"Too difficult because my Listening skill is not good enough, I don¡¯t think I can catch up with the class",0,1,1,3,4,1,So that I could better focus on the lesson
20,11-17-2022 0:34:31,2,16,2,1,5,4,0,,0,1,1,4,4,0,The compliments cannot make me improve my English skills
21,11-17-2022 13:48:38,2,21,1,2,5,5,0,,0,1,1,4,4,1,So that I could better focus on the lesson
22,11-17-2022 14:47:14,2,19,3,2,5,5,1,Difficult,0,1,1,4,4,1,The compliments cannot make me improve my English skills
23,11-17-2022 21:26:33,2,17,3,4,4,4,1,Difficult,1,1,1,5,4,0,"So that I could better focus on the lesson, The compliments cannot make me improve my English skills"
24,11-17-2022 21:57:50,1,15,1,3,4,5,1,Learning IELTS is too much pressure and difficult,1,1,1,4,5,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
25,11-19-2022 0:50:06,2,15,1,2,5,5,0,,1,1,1,5,5,,So that I could better focus on the lesson
26,11-22-2022 16:39:08,3,17,1,2,5,5,1,"Pressure from families, learning at school",1,1,1,5,5,0,To save time for learning other knowledge
27,11-22-2022 16:40:38,3,17,1,2,5,5,1,Too much homework,1,1,1,4,4,,So that I could better focus on the lesson
28,11-22-2022 16:49:20,3,17,1,2,5,5,0,,1,1,1,5,5,1,So that I could better focus on the lesson
29,11-22-2022 16:58:15,3,22,1,2,4,4,0,,1,1,1,3,4,0,The compliments cannot make me improve my English skills
30,11-22-2022 17:03:39,3,17,1,2,5,4,1,I don¡¯t feel motivated,1,1,1,4,3,1,The compliments cannot make me improve my English skills
31,11-22-2022 17:09:11,3,17,1,2,5,4,1,Pressure from families ,1,1,1,4,3,1,The compliments cannot make me improve my English skills
32,11-22-2022 17:11:00,3,17,2,2,5,5,1,"Pressure from families, learning at school",1,1,1,5,5,0,To save time for learning other knowledge
33,11-22-2022 17:13:38,3,15,1,3,5,5,0,,1,1,1,4,5,1,So that I could better focus on the lesson
34,11-22-2022 17:15:08,3,16,1,3,5,4,0,Reluctant between taking IELTS or HSK,1,1,1,3,3,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
35,11-22-2022 17:20:06,3,17,1,3,5,4,1,Too many new words and the knowledge is too much for me to learn,1,1,1,4,4,0,So that I could better focus on the lesson
36,11-22-2022 17:31:34,3,16,1,2,5,4,0,,1,1,1,3,1,0,So that I could better focus on the lesson
37,11-22-2022 17:39:06,3,17,2,2,5,5,0,,0,0,0,3,3,1,The compliments cannot make me improve my English skills
38,11-22-2022 17:54:09,1,18,1,2,5,4,0,,1,1,1,3,4,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
39,11-22-2022 17:58:54,1,19,1,2,5,5,0,,1,1,1,4,4,0,To save time for learning other knowledge
40,11-22-2022 18:06:26,3,24,1,2,5,4,0,,1,1,1,4,4,0,So that I could better focus on the lesson
41,11-22-2022 18:09:17,3,17,2,2,5,5,0,,0,1,1,5,5,0,So that I could better focus on the lesson
42,11-22-2022 18:14:33,1,18,1,2,5,5,0,,1,1,1,4,5,0,I don't like being praised
43,11-22-2022 18:19:35,3,16,1,3,5,5,0,,1,1,1,5,5,0,To save time for learning other knowledge
44,11-22-2022 18:30:00,3,16,1,2,4,5,1,"Because my vocab size is not enough. I sometimes find IELTS Reading extremely difficult. But it was the past. At the present, I feel more comfortable with learning IELTS. Besides, I find compliments in the class necessary because it really depends on how the teachers give it. I do like compliments in class so that I can improve myself and feel motivated.",1,1,1,4,4,,To save time for learning other knowledge
45,11-22-2022 18:31:47,1,19,1,2,5,5,1,Too difficult and requires much time and effort,0,1,1,4,4,1,So that I could better focus on the lesson
46,11-22-2022 18:51:26,3,16,1,2,5,5,0,,1,1,1,4,4,1,To save time for learning other knowledge
47,11-22-2022 18:54:09,3,17,1,1,4,4,1,,1,1,1,3,4,1,So that I could better focus on the lesson
48,11-22-2022 19:17:08,3,24,1,2,3,4,0,,0,1,1,3,4,1,I don't like being praised
49,11-22-2022 19:34:11,3,16,2,1,5,5,0,,1,1,1,5,3,1,I don't like being praised
50,11-23-2022 0:29:57,3,16,1,3,5,5,0,,1,1,1,4,4,1,To save time for learning other knowledge
51,11-23-2022 17:30:22,1,15,1,2,5,4,1,I find learning IELTS and learning English at school very tired because two things are not closely related that sometimes I got a score of 6-7 at schools. My parents sometimes question me why learning IELTS couldn¡¯t help improve me English scores at schoolc,0,1,1,4,3,0,The compliments cannot make me improve my English skills
52,11-23-2022 20:30:28,2,15,1,3,4,4,0,,1,1,1,3,4,0,"To save time for learning other knowledge, So that I could better focus on the lesson, I don't like being praised, The compliments cannot make me improve my English skills"
53,11-23-2022 20:31:22,1,16,1,1,5,5,0,,1,1,1,3,4,1,So that I could better focus on the lesson
54,11-23-2022 20:32:51,1,16,1,3,5,5,1,Too difficult that I sometimes feel exhausted,1,1,1,5,4,1,"So that I could better focus on the lesson, The compliments cannot make me improve my English skills"
55,11-23-2022 22:22:06,3,17,1,3,5,4,0,,1,1,1,3,5,0,To save time for learning other knowledge
56,11-23-2022 23:09:17,3,16,1,3,5,3,0,Too lazy,0,1,1,4,5,1,I don't like being praised
57,11-24-2022 18:17:21,2,16,1,3,5,5,0,,1,1,1,4,5,1,To save time for learning other knowledge
58,11-24-2022 18:17:22,2,16,1,3,4,5,0,,1,1,1,3,4,1,The compliments cannot make me improve my English skills
59,11-24-2022 18:18:46,2,17,2,2,2,5,0,,1,1,0,4,5,0,So that I could better focus on the lesson
60,11-24-2022 18:18:54,2,16,1,2,4,5,0,,1,1,1,4,3,0,To save time for learning other knowledge
61,11-24-2022 18:20:47,2,17,1,3,4,5,1,Too difficult,1,1,1,4,4,1,So that I could better focus on the lesson
62,11-24-2022 18:24:36,2,15,1,3,5,5,0,I have already reached my target IELTS score,1,1,1,3,4,1,"So that I could better focus on the lesson, I don't like being praised"
63,11-24-2022 18:25:03,2,17,1,3,5,4,0,,1,1,1,3,3,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
64,11-24-2022 18:49:37,2,16,1,2,5,5,0,,0,1,1,3,3,1,So that I could better focus on the lesson
65,11-24-2022 19:59:26,2,15,1,3,4,5,1,Because I'm learning two languages at a time so I'm confused,1,1,1,4,4,1,The compliments cannot make me improve my English skills
66,11-24-2022 20:09:05,2,16,1,2,5,5,0,,1,1,1,5,5,0,To save time for learning other knowledge
67,11-25-2022 15:49:06,2,15,1,2,3,4,0,,1,1,0,3,3,0,"To save time for learning other knowledge, So that I could better focus on the lesson"
68,11-29-2022 16:46:44,1,12,3,3,4,5,1,Because my family conditions are not good enough,0,0,0,3,3,1,So that I could better focus on the lesson
69,11-29-2022 18:40:34,1,12,2,2,4,4,0,,0,0,0,5,5,1,I don't like being praised
70,11-29-2022 18:41:53,2,12,2,2,5,5,1,Too difficult,0,0,0,3,3,1,I don't like being praised
71,11-29-2022 18:42:50,1,14,2,2,4,5,0,,1,1,1,5,5,1,So that I could better focus on the lesson
72,12-1-2022 18:56:35,1,13,1,3,5,5,1,Too difficult,1,1,1,5,5,1,"To save time for learning other knowledge, So that I could better focus on the lesson"
73,12-1-2022 18:58:05,2,13,1,4,4,4,1,Because my family conditions are not good enough,1,1,1,5,5,1,"So that I could better focus on the lesson, I don't like being praised, The compliments cannot make me improve my English skills"
